article_id,brand,article_title,source_name,published_date,description,url,language,collected_at,topic,sentiment,mention_type,region,low_description_flag
Tesla_1,Tesla,Tesla driver crashes during livestream desmonstrating ‘Full Self-Driving’ features,Electrek,2025-12-23 19:43:02+00:00,"A Tesla drove in the wrong direction, resulting in a head-on collision with another vehicle, during a livestream, demonstrating Tesla’s ‘Full Self-Driving’ features.



 more…",http://electrek.co/2025/12/23/tesla-driver-crashes-livestream-desmonstrating-full-self-driving-features/,en,2025-12-24 19:59:41.141944,Product,Neutral,Primary,Other,False
Tesla_2,Tesla,"MOD Christmas Sale offers rare 10% sitewide e-bike savings from $1,799, Anker SOLIX final Xmas flash sale, Segway F3 e-scooter $750, more",Electrek,2025-12-23 19:00:00+00:00,"Our Tuesday Green Deals are being led by the rare 10% savings from MOD Bikes’ Christmas Sale, which includes the second-ever discount on the new MOD Groove SideCar 3 e-bike at $3,149, among others. From there, we also have Anker’s final SOLIX 48-hour Christma…",http://electrek.co/2025/12/23/mod-bikes-christmas-sale-e-bikes-anker-solix-flash-sale-segway-more/,en,2025-12-24 19:59:41.141951,Product,Neutral,Secondary,Other,False
Tesla_3,Tesla,GM is inviting EV owners to test this feature that should be standard for all vehicles,Electrek,2025-12-23 18:48:33+00:00,"If you haven’t used one yet, a Digital Key is life-changing. It should be a given on all new vehicles nowadays. GM is finally asking a select group of EV owners to test the new feature.



 more…",http://electrek.co/2025/12/23/gm-inviting-ev-owners-test-long-awaited-feature/,en,2025-12-24 19:59:41.141954,Product,Positive,Secondary,Other,False
Tesla_4,Tesla,"BREAKING: SpaceX has announced that @Starlink now has over 9 million customers, up from 8M in November and 7M in August 2025.",Freerepublic.com,2025-12-23 18:15:08+00:00,"BREAKING: SpaceX has announced that @Starlink now has over 9 million customers, up from 8M in November and 7M in August 2025. Starlink added a record 21,275 new customers on average per day since they hit 8M, smashing their previous record of 14,250. That gro…",https://freerepublic.com/focus/f-chat/4358718/posts,en,2025-12-24 19:59:41.141957,Other,Neutral,Secondary,Other,False
Tesla_5,Tesla,The guy who coined 'vibe coding' predicts it will 'terraform software and alter job descriptions',Business Insider,2025-12-23 18:14:04+00:00,"Andrej Karpathy led AI at Tesla and cofounded OpenAI. He wrote that vibe coding has produced a new type of code that is ""free"" and ""discardable.""",https://www.businessinsider.com/andrej-karpathy-coined-vibecoding-ai-prediction-2025-12,en,2025-12-24 19:59:41.141959,Technology,Neutral,Secondary,Other,False
Tesla_6,Tesla,Tokenization of stocks: Edel Finance vs Coinbase vs xStocks,Coinjournal.net,2025-12-23 18:00:48+00:00,"Edel Finance, Coinbase, and xStocks each serve different roles in the tokenized stocks market. Coinbase focuses on access and distribution, while xStocks provides issuance and on-chain exposure. Edel Finance is designed for users seeking additional utility, s…",https://coinjournal.net/news/tokenization-of-stocks-edel-finance-vs-coinbase-vs-xstocks/,en,2025-12-24 19:59:41.141961,Technology,Neutral,Secondary,Other,False
Tesla_7,Tesla,A look at aging baby boomers in the United States,The Denver Post,2025-12-23 17:38:01+00:00,"By the end of this decade, all baby boomers will be 65 or older.",https://www.denverpost.com/2025/12/23/us-boomers-turn-80/,en,2025-12-24 19:59:41.141964,Other,Positive,Secondary,Other,False
Tesla_8,Tesla,A look at aging baby boomers in the United States,Boston Herald,2025-12-23 17:38:01+00:00,"By the end of this decade, all baby boomers will be 65 or older.",https://www.bostonherald.com/2025/12/23/us-boomers-turn-80/,en,2025-12-24 19:59:41.141966,Other,Positive,Secondary,Other,False
Tesla_9,Tesla,Tesla signs massive 1 GWh Megapack project in the UK with Matrix Renewables,Electrek,2025-12-23 15:56:18+00:00,"Tesla Energy has secured another massive Megapack project in the UK. Matrix Renewables announced today that it has signed a full EPC agreement with Tesla for a 500 MW / 1 GWh battery energy storage system in Scotland.



 more…",http://electrek.co/2025/12/23/tesla-signs-massive-1-gwh-megapack-project-uk-matrix-renewables/,en,2025-12-24 19:59:41.141968,Other,Neutral,Primary,Other,False
Tesla_10,Tesla,Bitcoin shows less volatility than Nvidia and Tesla stocks,Crypto Briefing,2025-12-23 15:12:42+00:00,"Bitcoins volatility drops to 46%, now below Nvidia and Tesla, signaling increasing price stability and a maturing market.
The post Bitcoin shows less volatility than Nvidia and Tesla stocks appeared first on Crypto Briefing.",https://cryptobriefing.com/bitcoin-volatility-nvdia-tesla/,en,2025-12-24 19:59:41.141970,Finance,Neutral,Primary,Other,False
Tesla_11,Tesla,"Why US stock market booming today – S&P 500 near record highs, Nasdaq gaining, as US GDP growth surprises markets and reshapes Fed expectations",The Times of India,2025-12-23 14:56:21+00:00,"US stock market surged Tuesday as strong US GDP growth shocked investors. The S&P 500 hovered near record highs, while the Nasdaq gained on tech strength. GDP jumped 4.3%, beating forecasts. Fed rate-cut bets cooled sharply. Gold, silver, and copper rallied. …",https://economictimes.indiatimes.com/news/international/us/why-us-stock-market-booming-today-sp-500-near-record-highs-nasdaq-gaining-as-us-gdp-growth-surprises-markets-and-reshapes-fed-expectations/articleshow/126143600.cms,en,2025-12-24 19:59:41.141978,Technology,Positive,Secondary,Other,False
